Sample_ID	line	fraction	batch	fqlines	reads	mapped	Mapped_noMP	prop_MappedwithoutMP	Sex	Wake_Up	Collection	count1	count2	alive1	alive2	alive_avg	undiluted_avg	Extraction	Conentration	ratio260_280	to_use	h20	threeprime_start	Cq	cycles	library_conc
19257_T	NA19257	total	1	69185712	17296428	13750225	10386815		F	7/11/17	7/24/17	0.295	0.323	NA	NA	93	1.545	7.25.17	747.4	2.12	1.34	8.66	5.1.18	20.01	22	14.6
18511_T	NA18511	total	2	77033096	19258274	17508001	12813821		F	6/5/18	6/21/18	1.41	1.43	80	77	78.5	2.84	6.27.18	1493.7	2.08	0.67	9.33	7.19.18	18.87	20	1.62
18511_N	NA18511	nuclear	2	78949888	19737472	16202267	7782067		F	6/5/18	6/21/18	1.41	1.43	80	77	78.5	2.84	6.27.18	95.9	2.07	10.43	-0.43	7.19.18	18.51	20	1.37
18519_T	NA18519	total	2	75437616	18859404	15927830	11329264		M	6/5/18	6/21/18	2.14	1.7	80	82	81	3.84	6.27.18	1237.7	2.07	0.81	9.19	7.19.18	17.34	20	1.52
18519_N	NA18519	nuclear	2	78458260	19614565	16857528	7101390		M	6/5/18	6/21/18	2.14	1.7	80	82	81	3.84	6.27.18	140.7	1.79	7.11	2.89	7.19.18	17.94	20	2.49
18520_T	NA18520	total	2	82789484	20697371	19556212	14867972		F	6/5/18	6/21/18	0.501	0.644	71	79	75	1.145	6.27.18	1575	2.07	0.63	9.37	7.19.18	19.88	20	2.03
18520_N	NA18520	nuclear	2	76872632	19218158	17594082	7758884		F	6/5/18	6/21/18	0.501	0.644	71	79	75	1.145	6.27.18	214.3	2.09	4.67	5.33	7.19.18	18.09	20	1.81
19092_T	NA19092	total	2	81755208	20438802	19283922	14064175		M	6/5/18	6/21/18	1.25	0.946	75	64	69.5	2.196	6.27.18	1727.4	2.07	0.58	9.42	7.19.18	19.41	20	1.17
19092_N	NA19092	nuclear	2	78357252	19589313	18095016	7940456		M	6/5/18	6/21/18	1.25	0.946	75	64	69.5	2.196	6.27.18	313.1	2.11	3.19	6.81	7.19.18	19.01	20	1.63
18858_T	NA18858	total	2	80264332	20066083	19068895	14138328		F	6/5/18	6/21/18	1.76	1.61	84	80	82	3.37	6.28.18	1425.4	2.08	0.7	9.3	7.19.18	19.91	20	2.19
18858_N	NA18858	nuclear	2	73848364	18462091	16231139	6200280		F	6/5/18	6/21/18	1.76	1.61	84	80	82	3.37	6.28.18	179.3	2.1	5.58	4.42	7.19.18	18.38	20	1.88
18861_T	NA18861	total	2	93625160	23406290	21599269	14869250		F	6/5/18	6/21/18	1.71	1.68	72	74	73	4.42	6.28.18	955.2	2.07	1.05	8.95	7.19.18	17.73	20	0.547
18861_N	NA18861	nuclear	2	66377536	16594384	14808963	5962164		F	6/5/18	6/21/18	1.71	1.68	72	74	73	4.42	6.28.18	196.6	2.1	5.09	4.91	7.19.18	18.64	20	2.17
19119_T	NA19119	total	2	81655252	20413813	18689522	14164587		M	6/5/18	6/21/18	1.38	0.979	74	79	76.5	2.36	6.28.18	1683.2	2.09	0.59	9.41	7.19.18	20.02	20	2.52
19119_N	NA19119	nuclear	2	77716840	19429210	15839321	6413056		M	6/5/18	6/21/18	1.38	0.979	74	79	76.5	2.36	6.28.18	126.3	2.09	7.92	2.08	7.19.18	17.4	20	2.06
19130_T	NA19130	total	2	78311588	19577897	17510237	12919493		M	6/5/18	6/21/18	0.941	1.02	68	69	68.5	1.96	6.28.18	1141	2.07	0.88	9.12	7.19.18	17.95	20	1.31
19130_N	NA19130	nuclear	2	72760600	18190150	15392052	6210420		M	6/5/18	6/21/18	0.941	1.02	68	69	68.5	1.96	6.28.18	262.4	2.09	3.81	6.19	7.19.18	17.59	20	1.58
19210_T	NA19210	total	2	79178676	19794669	18942487	13598977		M	6/6/18	6/21/18	2.48	2.31	85	84	84.5	4.79	6.28.18	1117.8	2.09	0.89	9.11	7.19.18	18.49	20	3.33
19210_N	NA19210	nuclear	2	75763472	18940868	15395015	6318711		M	6/6/18	6/21/18	2.48	2.31	85	84	84.5	4.79	6.28.18	148.6	2.09	6.73	3.27	7.19.18	16.79	20	1.72
18909_T	NA18909	total	2	92937220	23234305	21972721	15720277		F	6/19/18	7/10/18	NA	NA	NA	NA	69	1.1	7.12.18	1718.9	2.1	0.58	9.42	7.19.18	18.25	20	1.6
18909_N	NA18909	nuclear	2	29663968	7415992	6297405	2488401		F	6/19/18	7/10/18	NA	NA	NA	NA	69	1.1	7.12.18	220.4	2	4.54	5.46	7.19.18	18.24	20	2.96
18916_T	NA18916	total	2	76413700	19103425	17376422	12519306		F	6/19/18	7/10/18	NA	NA	NA	NA	91	1.2	7.12.18	1393.3	2.09	0.72	9.28	7.19.18	18.47	20	3.8
18916_N	NA18916	nuclear	2	74154008	18538502	15487783	5739057		F	6/19/18	7/10/18	NA	NA	NA	NA	91	1.2	7.12.18	355.5	1.9	2.81	7.19	7.19.18	17.09	20	2.35
19160_T	NA19160	total	2	30319920	7579980	7043885	5302185		M	6/19/18	7/10/18	NA	NA	NA	NA	90	1.1	7.12.18	1287.1	2.07	0.78	9.22	7.19.18	19.44	20	1.44
19160_N	NA19160	nuclear	2	73209844	18302461	15998601	6215799		M	6/19/18	7/10/18	NA	NA	NA	NA	90	1.1	7.12.18	242.4	2.11	4.13	5.87	7.19.18	18.25	20	3.93
19171_T	NA19171	total	3	75362468	18840617	16944155	12160638		M	6/19/18	7/10/18	NA	NA	NA	NA	83	1	7.12.18	1643.7	2.1	0.61	9.39	7.27.18	18.61	20	0.35
19171_N	NA19171	nuclear	3	75891276	18972819	15680245	7153517		M	6/19/18	7/10/18	NA	NA	NA	NA	83	1	7.12.18	254.2	2.11	3.93	6.07	7.27.18	17.44	18	0.286
19200_T	NA19200	total	3	78820668	19705167	18048591	13105417		M	6/19/18	7/10/18	NA	NA	NA	NA	94	1	7.12.18	3059	2.09	0.33	9.67	7.27.18	18.82	20	0.39
19200_N	NA19200	nuclear	3	80583720	20145930	17446251	7465743		M	6/19/18	7/10/18	NA	NA	NA	NA	94	1	7.12.18	328.8	2.11	3.04	6.96	7.27.18	15.88	18	0.621
19137_T	NA19137	total	3	74867480	18716870	16506650	11978615		F	7/2/18	7/10/18	NA	NA	NA	NA	72	1.32	7.12.18	1922.2	2.08	0.52	9.48	7.27.18	18.52	20	0.746
19137_N	NA19137	nuclear	3	73689892	18422473	14936720	6553776		F	7/2/18	7/10/18	NA	NA	NA	NA	72	1.32	7.12.18	386.6	2.11	2.59	7.41	7.27.18	17.5	18	0.629
19152_T	NA19152	total	3	72646308	18161577	15281769	10895048		F	7/2/18	7/10/18	NA	NA	NA	NA	83	1.23	7.12.18	1515.2	2.09	0.66	9.34	7.27.18	19.3	20	0.6
19152_N	NA19152	nuclear	3	129398600	32349650	28387186	15813677		F	7/2/18	7/10/18	NA	NA	NA	NA	83	1.23	7.12.18	216.7	2.11	4.61	5.39	7.27.18	16.12	18	1.19
19153_T	NA19153	total	3	74916044	18729011	17104288	12657059		M	7/2/18	7/10/18	NA	NA	NA	NA	81	1	7.12.18	2174.5	2.1	0.46	9.54	7.27.18	17.93	18	0.713
19153_N	NA19153	nuclear	3	79635596	19908899	15610235	7146081		M	7/2/18	7/10/18	NA	NA	NA	NA	81	1	7.12.18	402.4	2.1	2.49	7.51	7.27.18	17.1	18	0.655
19093_T	NA19093	total	3	75903180	18975795	16851055	11742952		F	6/19/18	7/26/18	1.2	2.2	83	83	83	1.7	7.26.18	1931.5	2.09	0.52	9.48	7.27.18	18.87	20	0.375
19093_N	NA19093	nuclear	3	78572624	19643156	17255366	7956866		F	6/19/18	7/26/18	1.2	2.2	83	83	83	1.7	7.26.18	908	2.11	1.1	8.9	7.27.18	17.95	18	0.566
18912_T	NA18912	total	3	77606428	19401607	16941240	12156857		F	6/19/18	7/26/18	0.78	0.88	62	61	61.5	0.83	7.26.18	1585.7	2.1	0.63	9.37	7.27.18	18.34	20	1.44
18912_N	NA18912	nuclear	3	76998296	19249574	14339731	6067675		F	6/19/18	7/26/18	0.78	0.88	62	61	61.5	0.83	7.26.18	918.7	2.08	1.09	8.91	7.27.18	18.28	20	0.811
19144_T	NA19144	total	3	80252892	20063223	16893471	12442671		M	7/16/18	7/26/18	0.88	0.7	71	67	69	0.79	7.26.18	1215.6	2.08	0.82	9.18	7.27.18	18.01	20	0.998
19144_N	NA19144	nuclear	3	81266632	20316658	17444863	7695311		M	7/16/18	7/26/18	0.88	0.7	71	67	69	0.79	7.26.18	280.8	1.92	3.56	6.44	7.27.18	15.8	18	2.48
19140_T	NA19140	total	3	75838712	18959678	17419795	12684580		F	7/2/18	7/26/18	2	1.6	52	60	56	1.8	7.26.18	1409.5	2.08	0.71	9.29	7.27.18	17.58	18	1.68
19140_N	NA19140	nuclear	3	82240072	20560018	17156369	8029718		F	7/2/18	7/26/18	2	1.6	52	60	56	1.8	7.26.18	302	2.11	3.31	6.69	7.27.18	17.28	18	1.24
19131_T	NA19131	total	3	79826576	19956644	16782437	12217533		M	7/2/18	7/26/18	0.858	1	44	42	43	0.929	7.26.18	1851.9	2.1	0.54	9.46	7.27.18	18.36	20	1.05
19131_N	NA19131	nuclear	3	80169300	20042325	17238785	8869720		M	7/2/18	7/26/18	0.858	1	44	42	43	0.929	7.26.18	919	2.09	1.09	8.91	7.27.18	17.04	18	1.97
19207_T	NA19207	total	3	76988848	19247212	18120319	12864844		M	6/19/18	7/26/18	0.5	0.66	68	92	80	0.58	7.26.18	1698.6	2.09	0.59	9.41	7.27.18	16.74	18	2.05
19207_N	NA19207	nuclear	3	83141836	20785459	16293731	8353607		M	6/19/18	7/26/18	0.5	0.66	68	92	80	0.58	7.26.18	439.5	2.09	2.28	7.72	7.27.18	21.57	22	2.18
18498_N	NA18498	nuclear	4	116208644	29052161	25328708	7265041		M	10/31/18	11/19/18	2.24	2	77	79	78	2.12	12.12.18	281.9	2	3.55	6.45	3.19.19	NA	NA	2.82
18498_T	NA18498	total	4	125952740	31488185	25976938	11976037		M	10/31/18	11/19/18	2.24	2	77	79	78	2.12	12.12.18	1858.3	2.08	0.54	9.46	3.19.19	NA	NA	0.64
18504_N	NA18504	nuclear	4	118282008	29570502	27439412	8761114		M	10/31/18	11/19/18	1.9	1.44	83	81	82	1.67	12.12.18	316.4	2.1	3.16	6.84	3.19.19	NA	NA	1.66
18504_T	NA18504	total	4	123975916	30993979	29348391	16891497		M	10/31/18	11/19/18	1.9	1.44	83	81	82	1.67	12.12.18	1984.6	2.07	0.5	9.5	3.19.19	NA	NA	0.81
18510_N	NA18510	nuclear	4	118666284	29666571	26234873	7189359		M	10/31/18	11/19/18	2	1.7	67	81	74	1.85	12.12.18	271.2	2.08	3.69	6.31	3.19.19	NA	NA	1.15
18510_T	NA18510	total	4	121505184	30376296	30052153	19550394		M	10/31/18	11/19/18	2	1.7	67	81	74	1.85	12.12.18	1863.3	2.08	0.54	9.46	3.19.19	NA	NA	5.5
18516_N	NA18516	nuclear	4	112272628	28068157	18974157	3975944		M	10/31/18	11/19/18	1.8	1.64	58	60	59	1.72	12.12.18	153	2.09	6.54	3.46	3.19.19	NA	NA	1.1
18516_T	NA18516	total	4	135756492	33939123	20006140	8756144		M	10/31/18	11/19/18	1.8	1.64	58	60	59	1.72	12.12.18	2190.3	2.09	0.46	9.54	3.19.19	NA	NA	2.1
18522_N	NA18522	nuclear	4	107167136	26791784	24676571	8533165		M	10/31/18	11/19/18	1.7	1.73	70	76	73	1.715	12.12.18	219.1	2.1	4.56	5.44	3.19.19	NA	NA	4.6
18522_T	NA18522	total	4	119930532	29982633	28826253	17226085		M	10/31/18	11/19/18	1.7	1.73	70	76	73	1.715	12.12.18	2286.7	2.09	0.44	9.56	3.19.19	NA	NA	2.7
18502_N	NA18502	nuclear	4	124595400	31148850	27645950	6401693		F	10/31/18	11/19/18	2.8	2.8	94	91	92.5	2.8	12.12.18	205.2	2.12	4.87	5.13	3.19.19	NA	NA	2.21
18502_T	NA18502	total	4	116588332	29147083	29113032	18461476		F	10/31/18	11/19/18	2.8	2.8	94	91	92.5	2.8	12.12.18	2022.6	2.07	0.49	9.51	3.19.19	NA	NA	3.5
18517_N	NA18517	nuclear	4	130406572	32601643	32705244	13121507		F	10/31/18	11/19/18	1.6	1.5	88	89	88.5	1.55	12.12.18	282	2.11	3.55	6.45	3.19.19	NA	NA	0.82
18517_T	NA18517	total	4	121710544	30427636	29458166	18924745		F	10/31/18	11/19/18	1.6	1.5	88	89	88.5	1.55	12.12.18	2603.8	2.07	0.38	9.62	3.19.19	NA	NA	1.73
18855_N	NA18855	nuclear	4	78751236	19687809	18607332	6952511		F	10/31/18	11/19/18	1.6	1.4	71	80	75.5	1.5	12.12.18	327.4	2.11	3.05	6.95	3.19.19	NA	NA	3.5
18855_T	NA18855	total	4	117427836	29356959	28639426	17908888		F	10/31/18	11/19/18	1.6	1.4	71	80	75.5	1.5	12.12.18	2442.9	2.08	0.41	9.59	3.19.19	NA	NA	3.5
18852_N	NA18852	nuclear	4	117794868	29448717	27899719	8548383		F	10/31/18	11/19/18	0.78	0.98	57	77	67	0.88	12.12.18	309.4	2.1	3.23	6.77	3.19.19	NA	NA	1.8
18852_T	NA18852	total	4	125217812	31304453	30758858	18333420		F	10/31/18	11/19/18	0.78	0.98	57	77	67	0.88	12.12.18	1233	2.09	0.81	9.19	3.19.19	NA	NA	5.3
18856_N	NA18856	nuclear	4	123417876	30854469	28570862	9539533		M	11/26/18	12/14/18	0.97	1.04	76	67	71.5	1.005	12.16.18	481.5	2.09	2.08	7.92	3.19.19	NA	NA	5.4
18856_T	NA18856	total	4	113035136	28258784	27892334	18888902		M	11/26/18	12/14/18	0.97	1.04	76	67	71.5	1.005	12.16.18	2461.2	2.06	0.41	9.59	3.19.19	NA	NA	5.9
18862_N	NA18862	nuclear	4	126688064	31672016	27535542	8453942		M	11/26/18	12/14/18	1.06	1.07	79	77	78	1.065	12.16.18	261.5	2.09	3.82	6.18	3.19.19	NA	NA	4.96
18862_T	NA18862	total	4	127810924	31952731	30700434	19437354		M	11/26/18	12/14/18	1.06	1.07	79	77	78	1.065	12.16.18	2198.2	2.07	0.45	9.55	3.19.19	NA	NA	3.2
18913_N	NA18913	nuclear	4	118748596	29687149	27857681	7468501		M	11/26/18	12/14/18	0.98	1.1	76	82	79	1.04	12.16.18	136.5	2.06	7.33	2.67	3.19.19	NA	NA	3
18913_T	NA18913	total	4	121547392	30386848	29035918	18972983		M	11/26/18	12/14/18	0.98	1.1	76	82	79	1.04	12.16.18	2536.6	2.08	0.39	9.61	3.19.19	NA	NA	3.2
19101_N	NA19101	nuclear	4	126696752	31674188	29925523	9588347		M	11/26/18	12/14/18	0.976	1.05	76	86	81	1.013	12.16.18	371.2	2.09	2.69	7.31	3.19.19	NA	NA	6.4
19101_T	NA19101	total	4	131443436	32860859	32520753	21765170		M	11/26/18	12/14/18	0.976	1.05	76	86	81	1.013	12.16.18	2453.6	2.07	0.41	9.59	3.19.19	NA	NA	4.7
19138_N	NA19138	nuclear	4	109195376	27298844	26692438	6350122		M	11/26/18	12/14/18	1.1	1.1	91	91	91	1.1	12.16.18	179.8	2.09	5.56	4.44	3.19.19	NA	NA	9.2
19138_T	NA19138	total	4	131834024	32958506	28180148	13353512		M	11/26/18	12/14/18	1.1	1.1	91	91	91	1.1	12.16.18	1581.7	2.08	0.63	9.37	3.19.19	NA	NA	3.7
18907_N	NA18907	nuclear	4	118991524	29747881	27835720	7826832		F	11/26/18	12/14/18	1.24	1.2	89	77	83	1.22	12.16.18	297	2.09	3.37	6.63	3.19.19	NA	NA	5
18907_T	NA18907	total	4	120358032	30089508	29383288	18562339		F	11/26/18	12/14/18	1.24	1.2	89	77	83	1.22	12.16.18	2137.8	2.08	0.47	9.53	3.19.19	NA	NA	3.5
